Track,Percentuale_acceleratore_premuto,Numero_cambi_marcia,Percentuale_freno,Percentuale_acc_parzializzato
Australian Grand Prix,0.7168141592920354,5.744015889119817,0.10619469026548672,0.11858407079646018
Chinese Grand Prix,0.5728862973760933,7.781415348392269,0.16326530612244897,0.13119533527696792
Japanese Grand Prix,0.6834862385321101,4.487264878811843,0.11467889908256881,0.14831804281345565
Bahrain Grand Prix,0.5973053892215568,9.124838916867139,0.1751497005988024,0.12275449101796407
Saudi Arabian Grand Prix,0.7606060606060606,5.566267631316432,0.10757575757575757,0.11818181818181818
Miami Grand Prix,0.6111111111111112,6.356840341277897,0.1743827160493827,0.13271604938271606
Emilia Romagna Grand Prix,0.6684684684684684,7.36813301912316,0.13153153153153152,0.11531531531531532
Monaco Grand Prix,0.42034548944337813,12.453765874476797,0.2399232245681382,0.2418426103646833
Spanish Grand Prix,0.6415441176470589,6.243223264655759,0.14522058823529413,0.09375
Canadian Grand Prix,0.6636197440585009,9.929535644990844,0.18281535648994515,0.10054844606946983
Austrian Grand Prix,0.6715481171548117,7.888484231604669,0.13179916317991633,0.12552301255230125
British Grand Prix,0.6619718309859155,5.321104615139075,0.12363067292644757,0.1564945226917058
Belgian Grand Prix,0.6754617414248021,5.458424802835093,0.12005277044854881,0.11081794195250659
Hungarian Grand Prix,0.5305410122164049,9.629469100563108,0.18150087260034903,0.14834205933682373
Dutch Grand Prix,0.5871212121212122,6.829374536500965,0.15151515151515152,0.17424242424242425
Italian Grand Prix,0.768313458262351,5.213389263079646,0.13458262350936967,0.09028960817717206
Azerbaijan Grand Prix,0.6105398457583547,9.095357283438828,0.20822622107969152,0.14010282776349614
Singapore Grand Prix,0.5141158989598811,10.857016835096465,0.21842496285289748,0.1738484398216939
United States Grand Prix,0.5811001410437235,8.0771474106474,0.1763046544428773,0.1777150916784203
Mexico City Grand Prix,0.4774774774774775,7.325680977257953,0.1963963963963964,0.23603603603603604
São Paulo Grand Prix,0.5787545787545788,7.804070879293243,0.1794871794871795,0.152014652014652
Las Vegas Grand Prix,0.6887966804979253,6.164037061183248,0.1507607192254495,0.09681881051175657
Qatar Grand Prix,0.6995073891625616,6.135762203800924,0.10837438423645321,0.12315270935960591
Abu Dhabi Grand Prix,0.6645056726094003,7.458170938104881,0.14100486223662884,0.1426256077795786
