Track,Year,Percentuale_acceleratore_premuto,Numero_cambi_marcia,Numero_frenate,Percentuale_freno,Percentuale_acc_parzializzato
Bahrain Grand Prix,2023,0.4628099173553719,8.202935459710972,1.4914428108565405,0.19421487603305784,0.15564738292011018
Bahrain Grand Prix,2023,0.46521145975443384,7.455870697582773,1.4911741395165545,0.19918144611186903,0.165075034106412
Bahrain Grand Prix,2023,0.46185286103542234,7.640183462385754,1.490767504855757,0.18528610354223432,0.16893732970027248
Bahrain Grand Prix,2023,0.48921832884097033,8.386570695067842,1.6773141390135682,0.20350404312668463,0.16846361185983827
Bahrain Grand Prix,2023,0.4470426409903714,7.452145299762358,1.4904290599524717,0.22283356258596973,0.1746905089408528
Bahrain Grand Prix,2023,0.5158045977011494,9.65795216930075,1.4858387952770382,0.1997126436781609,0.15086206896551724
Bahrain Grand Prix,2023,0.4924346629986245,8.54822284628943,1.4866474515285966,0.1815680880330124,0.13342503438789546
Bahrain Grand Prix,2023,0.49175824175824173,8.916018197179545,1.4860030328632574,0.19505494505494506,0.1304945054945055
Bahrain Grand Prix,2023,0.5091937765205092,8.7509623693231,1.489525509672017,0.18387553041018387,0.12164073550212164
Bahrain Grand Prix,2023,0.5,8.203342246782993,1.4915167721423623,0.17847025495750707,0.13314447592067988
Bahrain Grand Prix,2023,0.43437077131258456,10.064811515378024,1.491083187463411,0.1975642760487145,0.20974289580514208
Bahrain Grand Prix,2023,0.4279778393351801,8.936016310944472,1.4893360518240788,0.20914127423822715,0.19529085872576177
Bahrain Grand Prix,2023,0.42818057455540354,9.68967306201799,1.4907189326181522,0.20930232558139536,0.18604651162790697
Bahrain Grand Prix,2023,0.43586206896551727,9.288065267251591,1.4860904427602546,0.2110344827586207,0.1889655172413793
Bahrain Grand Prix,2023,0.4859437751004016,9.306108247008709,1.4889773195213936,0.2182061579651941,0.16198125836680052
Bahrain Grand Prix,2023,0.5218579234972678,9.171478778913157,1.4973842904348011,0.19808743169398907,0.18442622950819673
Bahrain Grand Prix,2023,0.5518207282913166,9.693276963694396,1.491273379029907,0.18207282913165265,0.16666666666666666
Bahrain Grand Prix,2023,0.4965229485396384,9.879697330182166,1.4912750687067422,0.20166898470097358,0.1835883171070932
Bahrain Grand Prix,2023,0.535230352303523,10.078619502436501,1.493128815175778,0.17886178861788618,0.18292682926829268
Bahrain Grand Prix,2023,0.5082417582417582,9.698759250021912,1.4921168076956786,0.18681318681318682,0.17445054945054944
Bahrain Grand Prix,2023,0.47560975609756095,10.228935249059582,1.6738257680279316,0.1910569105691057,0.19647696476964768
Bahrain Grand Prix,2023,0.4743243243243243,9.497982411955045,1.4898795940321639,0.19054054054054054,0.22027027027027027
Bahrain Grand Prix,2023,0.47042640990371387,9.308417167467598,1.4893467467948156,0.20357634112792297,0.1746905089408528
Bahrain Grand Prix,2023,0.4803788903924222,8.744169690240055,1.4883693089770307,0.20433017591339647,0.17861975642760486
Bahrain Grand Prix,2023,0.5087956698240866,8.197120351019656,1.4903855183672101,0.20027063599458728,0.16779431664411368
Bahrain Grand Prix,2023,0.5054945054945055,8.92347249663296,1.4872454161054933,0.1978021978021978,0.17857142857142858
Bahrain Grand Prix,2023,0.47619047619047616,8.04564357957818,1.4968639217819868,0.19047619047619047,0.17959183673469387
